FECHA,COD_STA,ALFA
0,I0,0.3
1,I0,0.3
2,I0,0.3
3,I0,0.3
4,I0,0.3
5,I0,0.6
6,I0,0.6
7,I0,0.6
8,I0,0.6
9,I0,0.6
10,I0,0.6
11,I0,0.6
12,I0,0.6
13,I0,0.6
14,I0,0.6
15,I0,0.6
16,I0,0.6
17,I0,0.6
18,I0,0.6
19,I0,0.6
20,I0,0.6
21,I0,0.6
22,I0,0.6
23,I0,0.6
24,I0,0.6
25,I0,0.6
26,I0,0.6
27,I0,0.6
28,I0,0.6
29,I0,0.6
30,I0,0.6
31,I0,0.6
32,I0,0.6
33,I0,0.6
34,I0,0.6
35,I0,0.6
36,I0,0.6
37,I0,0.6
38,I0,0.6
39,I0,0.6
40,I0,0.6
41,I0,0.6
42,I0,0.6
43,I0,0.3
44,I0,0.3
45,I0,0.3
46,I0,0.3
47,I0,0.3
48,I0,0.3
49,I0,0.3
50,I0,0.3
51,I0,0.3
52,I0,0.3
53,I0,0.3
54,I0,0.3
55,I0,0.3
56,I0,0.3
57,I0,0.3
58,I0,0.3
59,I0,0.3
60,I0,0.3
61,I0,0.3
62,I0,0.3
63,I0,0.3
64,I0,0.3
65,I0,0.3
66,I0,0.3
67,I0,0.3
68,I0,0.3
69,I0,0.3
70,I0,0.3
71,I0,0.3
72,I0,0.3
73,I0,0.3
74,I0,0.3
75,I0,0.3
76,I0,0.3
77,I0,0.3
78,I0,0.3
79,I0,0.3
80,I0,0.3
81,I0,0.3
82,I0,0.3
83,I0,0.3
84,I0,0.3
85,I0,0.3
86,I0,0.3
87,I0,0.3
88,I0,0.3
89,I0,0.3
90,I0,0.3
91,I0,0.3
92,I0,0.3
93,I0,0.3
94,I0,0.3
95,I0,0.3
96,I0,0.3
97,I0,0.3
98,I0,0.3
99,I0,0.3
100,I0,0.3
101,I0,0.3
102,I0,0.3
103,I0,0.3
104,I0,0.3
105,I0,0.3
106,I0,0.3
107,I0,0.3
108,I0,0.3
109,I0,0.3
110,I0,0.3
111,I0,0.3
112,I0,0.3
113,I0,0.3
114,I0,0.3
115,I0,0.3
116,I0,0.3
117,I0,0.3
118,I0,0.3
119,I0,0.3
120,I0,0.3
121,I0,0.3
122,I0,0.3
123,I0,0.3
124,I0,0.3
125,I0,0.3
126,I0,0.3
127,I0,0.3
128,I0,0.3
129,I0,0.3
130,I0,0.3
131,I0,0.3
132,I0,0.3
133,I0,0.3
134,I0,0.3
135,I0,0.3
136,I0,0.3
137,I0,0.3
138,I0,0.3
139,I0,0.3
140,I0,0.3
141,I0,0.3
142,I0,0.3
143,I0,0.3
144,I0,0.3
145,I0,0.3
146,I0,0.3
147,I0,0.3
148,I0,0.3
149,I0,0.3
150,I0,0.3
151,I0,0.3
152,I0,0.3
153,I0,0.3
154,I0,0.3
155,I0,0.3
156,I0,0.3
157,I0,0.3
158,I0,0.3
159,I0,0.3
160,I0,0.3
161,I0,0.3
