FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-15,ED,TAM,EUN,0.0,0.01
2020-03-15,EX,TAM,EUN,0.0,0.01
2020-03-15,I0,TAM,EUN,0.0,0.01
2020-03-15,I1,TAM,EUN,3.06E-6,0.01
2020-03-15,I2,TAM,EUN,0.0,0.01
2020-03-15,I3,TAM,EUN,0.0,0.01
2020-03-15,ND,TAM,EUN,0.0,0.01
2020-03-15,RE,TAM,EUN,0.0,0.01
2020-03-15,SU,TAM,EUN,0.999996945,0.01
2020-03-15,ED,MAD,EUN,0.0,0.01
2020-03-15,EX,MAD,EUN,0.0,0.01
2020-03-15,I0,MAD,EUN,0.0,0.01
2020-03-15,I1,MAD,EUN,9.23E-6,0.01
2020-03-15,I2,MAD,EUN,0.0,0.01
2020-03-15,I3,MAD,EUN,0.0,0.01
2020-03-15,ND,MAD,EUN,0.0,0.01
2020-03-15,RE,MAD,EUN,0.0,0.01
2020-03-15,SU,MAD,EUN,0.999990769,0.01
2020-03-15,ED,ALT,EUN,0.0,0.01
2020-03-15,EX,ALT,EUN,0.0,0.01
2020-03-15,I0,ALT,EUN,0.0,0.01
2020-03-15,I1,ALT,EUN,4.06E-6,0.01
2020-03-15,I2,ALT,EUN,0.0,0.01
2020-03-15,I3,ALT,EUN,0.0,0.01
2020-03-15,ND,ALT,EUN,0.0,0.01
2020-03-15,RE,ALT,EUN,0.0,0.01
2020-03-15,SU,ALT,EUN,0.999995944,0.01
2020-03-16,ED,TAM,EUN,0.0,0.01
2020-03-16,EX,TAM,EUN,4.62475904119271E-7,0.01
2020-03-16,I0,TAM,EUN,0.0,0.01
2020-03-16,I1,TAM,EUN,2.6316E-6,0.01
2020-03-16,I2,TAM,EUN,1.2239999999999993E-7,0.01
2020-03-16,I3,TAM,EUN,0.0,0.01
2020-03-16,ND,TAM,EUN,2.9297766899941176E-5,0.01
2020-03-16,RE,TAM,EUN,3.06E-7,0.01
2020-03-16,SU,TAM,EUN,0.9999464826768459,0.01
2020-03-16,ED,MAD,EUN,0.0,0.01
2020-03-16,EX,MAD,EUN,1.3949758927261126E-6,0.01
2020-03-16,I0,MAD,EUN,0.0,0.01
2020-03-16,I1,MAD,EUN,7.9378E-6,0.01
2020-03-16,I2,MAD,EUN,3.691999999999998E-7,0.01
2020-03-16,I3,MAD,EUN,0.0,0.01
2020-03-16,ND,MAD,EUN,3.629599975565733E-5,0.01
2020-03-16,RE,MAD,EUN,9.23E-7,0.01
2020-03-16,SU,MAD,EUN,0.9999393744856573,0.01
2020-03-16,ED,ALT,EUN,0.0,0.01
2020-03-16,EX,ALT,EUN,6.136112062708091E-7,0.01
2020-03-16,I0,ALT,EUN,0.0,0.01
2020-03-16,I1,ALT,EUN,3.4916E-6,0.01
2020-03-16,I2,ALT,EUN,1.6239999999999992E-7,0.01
2020-03-16,I3,ALT,EUN,0.0,0.01
2020-03-16,ND,ALT,EUN,3.4405727354798976E-5,0.01
2020-03-16,RE,ALT,EUN,4.06E-7,0.01
2020-03-16,SU,ALT,EUN,0.9999453305915937,0.01
2020-03-17,ED,TAM,EUN,0.0,0.01
2020-03-17,EX,TAM,EUN,4.0016931547246764E-7,0.01
2020-03-17,I0,TAM,EUN,4.62475904119271E-7,0.01
2020-03-17,I1,TAM,EUN,2.263176E-6,0.01
2020-03-17,I2,TAM,EUN,2.1090692999999988E-7,0.01
2020-03-17,I3,TAM,EUN,5.828279999999995E-9,0.01
2020-03-17,ND,TAM,EUN,2.9297775865115912E-5,0.01
2020-03-17,RE,TAM,EUN,5.800734899999999E-7,0.01
2020-03-17,SU,TAM,EUN,0.9998960851833967,0.01
2020-03-17,ED,MAD,EUN,0.0,0.01
2020-03-17,EX,MAD,EUN,1.2070380803448717E-6,0.01
2020-03-17,I0,MAD,EUN,1.3949758927261126E-6,0.01
2020-03-17,I1,MAD,EUN,6.826508E-6,0.01
2020-03-17,I2,MAD,EUN,6.361669816666663E-7,0.01
2020-03-17,I3,MAD,EUN,1.758007333333332E-8,0.01
2020-03-17,ND,MAD,EUN,5.699696868903795E-5,0.01
2020-03-17,RE,MAD,EUN,1.7496987950000001E-6,0.01
2020-03-17,SU,MAD,EUN,0.9998881704788526,0.01
2020-03-17,ED,ALT,EUN,0.0,0.01
2020-03-17,EX,ALT,EUN,5.309429898495504E-7,0.01
2020-03-17,I0,ALT,EUN,6.136112062708091E-7,0.01
2020-03-17,I1,ALT,EUN,3.002776E-6,0.01
2020-03-17,I2,ALT,EUN,2.7983076333333325E-7,0.01
2020-03-17,I3,ALT,EUN,7.732946666666661E-9,0.01
2020-03-17,ND,ALT,EUN,6.880971970126282E-5,0.01
2020-03-17,RE,ALT,EUN,7.696399899999999E-7,0.01
2020-03-17,SU,ALT,EUN,0.9998948023820744,0.01
2020-03-18,ED,TAM,EUN,5.828279999999995E-12,0.01
2020-03-18,EX,TAM,EUN,4.976692156641506E-7,0.01
2020-03-18,I0,TAM,EUN,7.698116417648703E-7,0.01
2020-03-18,I1,TAM,EUN,2.0252906607032905E-6,0.01
2020-03-18,I2,TAM,EUN,2.725599325041248E-7,0.01
2020-03-18,I3,TAM,EUN,1.5288136983499985E-8,0.01
2020-03-18,ND,TAM,EUN,2.9297792860083876E-5,0.01
2020-03-18,RE,TAM,EUN,8.393591299614531E-7,0.01
2020-03-18,SU,TAM,EUN,0.9998455927099219,0.01
2020-03-18,ED,MAD,EUN,1.758007333333332E-11,0.01
2020-03-18,EX,MAD,EUN,1.5011247960587346E-6,0.01
2020-03-18,I0,MAD,EUN,2.3219980804579134E-6,0.01
2020-03-18,I1,MAD,EUN,6.108963495831288E-6,0.01
2020-03-18,I2,MAD,EUN,8.221333911807426E-7,0.01
2020-03-18,I3,MAD,EUN,4.6114217110361066E-8,0.01
2020-03-18,ND,MAD,EUN,7.769692429728828E-5,0.01
2020-03-18,RE,MAD,EUN,2.5317921498842624E-6,0.01
2020-03-18,SU,MAD,EUN,0.9998366749455326,0.01
2020-03-18,ED,ALT,EUN,7.732946666666662E-12,0.01
2020-03-18,EX,ALT,EUN,6.603051661711362E-7,0.01
2020-03-18,I0,ALT,EUN,1.0213829710567311E-6,0.01
2020-03-18,I1,ALT,EUN,2.687150248875504E-6,0.01
2020-03-18,I2,ALT,EUN,3.6163180587148597E-7,0.01
2020-03-18,I3,ALT,EUN,2.028426018072221E-8,0.01
2020-03-18,ND,ALT,EUN,1.0321197953475515E-4,0.01
2020-03-18,RE,ALT,EUN,1.1136594808030825E-6,0.01
2020-03-18,SU,ALT,EUN,0.9998441473367891,0.01
2020-03-19,ED,TAM,EUN,2.1116416983499983E-11,0.01
2020-03-19,EX,TAM,EUN,5.636665401323086E-7,0.01
2020-03-19,I0,TAM,EUN,1.1129552522649994E-6,0.01
2020-03-19,I1,TAM,EUN,1.8731812241159054E-6,0.01
2020-03-19,I2,TAM,EUN,3.1625696850605625E-7,0.01
2020-03-19,I3,TAM,EUN,2.6737718737888057E-8,0.01
2020-03-19,ND,TAM,EUN,2.9297817451591278E-5,0.01
2020-03-19,RE,TAM,EUN,1.0900411791508673E-6,0.01
2020-03-19,SU,TAM,EUN,0.9997950367637463,0.01
2020-03-19,ED,MAD,EUN,6.369429044369439E-11,0.01
2020-03-19,EX,MAD,EUN,1.7001894116961176E-6,0.01
2020-03-19,I0,MAD,EUN,3.3570242374393644E-6,0.01
2020-03-19,I1,MAD,EUN,5.6501473030784535E-6,0.01
2020-03-19,I2,MAD,EUN,9.539384442055537E-7,0.01
2020-03-19,I3,MAD,EUN,8.065004704271464E-8,0.01
2020-03-19,ND,MAD,EUN,9.839586299512304E-5,0.01
2020-03-19,RE,MAD,EUN,3.2879337982942032E-6,0.01
2020-03-19,SU,MAD,EUN,0.9997849829223736,0.01
